capacity,is_installed,is_renting,is_returning,is_virtual_station,last_reported,station_name,num_bikes_available,num_docks_available,region_id,rental_uris,short_name,station_id,vehicle_types_available
4.0,True,True,True,True,1770756680,Ackerstraße (Park),1,3,362,"{'android': 'https://app.nextbike.net/station?id=101639465', 'ios': 'https://app.nextbike.net/station?id=101639465', 'web': 'https://nxtb.it/p/101639465'}",1300,101639465,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Winterfeldtstraße/Frobenstraße,1,3,362,"{'android': 'https://app.nextbike.net/station?id=10321452', 'ios': 'https://app.nextbike.net/station?id=10321452', 'web': 'https://nxtb.it/p/10321452'}",1842,10321452,"[{'count': 1, 'vehicle_type_id': '196'}]"
5.0,True,True,True,False,1770756680,Jelbi Simon-Dach-Straße/ Revaler Straße (FHA/SI),0,5,362,"{'android': 'https://app.nextbike.net/station?id=103883316', 'ios': 'https://app.nextbike.net/station?id=103883316', 'web': 'https://nxtb.it/p/103883316'}",1401,103883316,[]
4.0,True,True,True,True,1770756680,Brachvogelstraße/Johanniterstraße,2,1,362,"{'android': 'https://app.nextbike.net/station?id=10438266', 'ios': 'https://app.nextbike.net/station?id=10438266', 'web': 'https://nxtb.it/p/10438266'}",1500,10438266,"[{'count': 1, 'vehicle_type_id': '150'}, {'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Schinkestraße/Maybachufer,2,1,362,"{'android': 'https://app.nextbike.net/station?id=10438307', 'ios': 'https://app.nextbike.net/station?id=10438307', 'web': 'https://nxtb.it/p/10438307'}",1596,10438307,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,Münsterlandplatz,0,4,362,"{'android': 'https://app.nextbike.net/station?id=10438376', 'ios': 'https://app.nextbike.net/station?id=10438376', 'web': 'https://nxtb.it/p/10438376'}",1874,10438376,[]
4.0,True,True,True,True,1770756680,Schmollerplatz,1,3,362,"{'android': 'https://app.nextbike.net/station?id=10456931', 'ios': 'https://app.nextbike.net/station?id=10456931', 'web': 'https://nxtb.it/p/10456931'}",1400,10456931,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,S+U Westhafen (Süd),3,1,362,"{'android': 'https://app.nextbike.net/station?id=107252242', 'ios': 'https://app.nextbike.net/station?id=107252242', 'web': 'https://nxtb.it/p/107252242'}",1352,107252242,"[{'count': 3, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,EDEKA Trabener Straße (S Grunewald),3,1,362,"{'android': 'https://app.nextbike.net/station?id=107255403', 'ios': 'https://app.nextbike.net/station?id=107255403', 'web': 'https://nxtb.it/p/107255403'}",1379,107255403,"[{'count': 3, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,S Olympiastadion (Flatowbrücke),3,1,362,"{'android': 'https://app.nextbike.net/station?id=107255553', 'ios': 'https://app.nextbike.net/station?id=107255553', 'web': 'https://nxtb.it/p/107255553'}",1380,107255553,"[{'count': 3, 'vehicle_type_id': '196'}]"
5.0,True,True,True,True,1770756680,S Bellevue (Nord),7,0,362,"{'android': 'https://app.nextbike.net/station?id=107256254', 'ios': 'https://app.nextbike.net/station?id=107256254', 'web': 'https://nxtb.it/p/107256254'}",1385,107256254,"[{'count': 7, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,S Betriebsbahnhof Rummelsburg,0,4,362,"{'android': 'https://app.nextbike.net/station?id=107256395', 'ios': 'https://app.nextbike.net/station?id=107256395', 'web': 'https://nxtb.it/p/107256395'}",1386,107256395,[]
4.0,True,True,True,True,1770756680,S Wollankstraße (Sternstraße),0,4,362,"{'android': 'https://app.nextbike.net/station?id=107256613', 'ios': 'https://app.nextbike.net/station?id=107256613', 'web': 'https://nxtb.it/p/107256613'}",1387,107256613,[]
4.0,True,True,True,True,1770756680,S Südende,0,4,362,"{'android': 'https://app.nextbike.net/station?id=107257620', 'ios': 'https://app.nextbike.net/station?id=107257620', 'web': 'https://nxtb.it/p/107257620'}",1393,107257620,[]
4.0,True,True,True,True,1770756680,S Attilastraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=107257844', 'ios': 'https://app.nextbike.net/station?id=107257844', 'web': 'https://nxtb.it/p/107257844'}",1395,107257844,[]
4.0,True,True,True,True,1770756680,S Friedenau (Dürerplatz),0,4,362,"{'android': 'https://app.nextbike.net/station?id=107258249', 'ios': 'https://app.nextbike.net/station?id=107258249', 'web': 'https://nxtb.it/p/107258249'}",1398,107258249,[]
7.0,True,True,True,True,1770756680,U Kurfürstendamm (Südwest),1,6,362,"{'android': 'https://app.nextbike.net/station?id=107262135', 'ios': 'https://app.nextbike.net/station?id=107262135', 'web': 'https://nxtb.it/p/107262135'}",1408,107262135,"[{'count': 1, 'vehicle_type_id': '196'}]"
7.0,True,True,True,True,1770756680,U Möckernbrücke (Nord),0,7,362,"{'android': 'https://app.nextbike.net/station?id=107262964', 'ios': 'https://app.nextbike.net/station?id=107262964', 'web': 'https://nxtb.it/p/107262964'}",1411,107262964,[]
4.0,True,True,True,True,1770756680,U Olympia-Stadion (West),1,3,362,"{'android': 'https://app.nextbike.net/station?id=107265294', 'ios': 'https://app.nextbike.net/station?id=107265294', 'web': 'https://nxtb.it/p/107265294'}",1423,107265294,"[{'count': 1, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,U Biesdorf-Süd (Nord),0,4,362,"{'android': 'https://app.nextbike.net/station?id=107266769', 'ios': 'https://app.nextbike.net/station?id=107266769', 'web': 'https://nxtb.it/p/107266769'}",1468,107266769,[]
4.0,True,True,True,True,1770756680,U Friedrichsfelde (Nord),0,4,362,"{'android': 'https://app.nextbike.net/station?id=107266956', 'ios': 'https://app.nextbike.net/station?id=107266956', 'web': 'https://nxtb.it/p/107266956'}",1478,107266956,[]
10.0,True,True,True,False,1770756680,Kastanienallee/Schwedter Straße (Mobilitätsstation),10,0,362,"{'android': 'https://app.nextbike.net/station?id=107268494', 'ios': 'https://app.nextbike.net/station?id=107268494', 'web': 'https://nxtb.it/p/107268494'}",1489,107268494,"[{'count': 1, 'vehicle_type_id': '150'}, {'count': 9, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,U Afrikanische Str.,0,4,362,"{'android': 'https://app.nextbike.net/station?id=107271775', 'ios': 'https://app.nextbike.net/station?id=107271775', 'web': 'https://nxtb.it/p/107271775'}",1493,107271775,[]
4.0,True,True,True,True,1770756680,U Franz-Neumann-Platz,2,2,362,"{'android': 'https://app.nextbike.net/station?id=107281185', 'ios': 'https://app.nextbike.net/station?id=107281185', 'web': 'https://nxtb.it/p/107281185'}",1527,107281185,"[{'count': 2, 'vehicle_type_id': '196'}]"
4.0,True,True,True,True,1770756680,U Pankstraße,0,4,362,"{'android': 'https://app.nextbike.net/station?id=107281561', 'ios': 'https://app.nextbike.net/station?id=107281561', 'web': 'https://nxtb.it/p/107281561'}",1528,107281561,[]
7.0,True,True,True,True,1770756680,U Voltastraße (Nord),8,0,362,"{'android': 'https://app.nextbike.net/station?id=107282169', 'ios': 'https://app.nextbike.net/station?id=107282169', 'web': 'https://nxtb.it/p/107282169'}",1529,107282169,"[{'count': 8, 'vehicle_type_id': '196'}]"
10.0,True,True,True,False,1770756680,U Heinrich-Heine-Straße (Mobilitätsstation),0,10,362,"{'android': 'https://app.nextbike.net/station?id=107283070', 'ios': 'https://app.nextbike.net/station?id=107283070', 'web': 'https://nxtb.it/p/107283070'}",1540,107283070,[]
4.0,True,True,True,True,1770756680,S Springpfuhl,0,4,362,"{'android': 'https://app.nextbike.net/station?id=107426897', 'ios': 'https://app.nextbike.net/station?id=107426897', 'web': 'https://nxtb.it/p/107426897'}",1564,107426897,[]
4.0,True,True,True,True,1770756680,Andreasstraße (EDEKA),3,1,362,"{'android': 'https://app.nextbike.net/station?id=10934453', 'ios': 'https://app.nextbike.net/station?id=10934453', 'web': 'https://nxtb.it/p/10934453'}",1502,10934453,"[{'count': 3, 'vehicle_type_id': '196'}]"
4.0,True,True,True,False,1770756680,Jelbi Samariterplatz (FHA/SM),0,4,362,"{'android': 'https://app.nextbike.net/station?id=10958209', 'ios': 'https://app.nextbike.net/station?id=10958209', 'web': 'https://nxtb.it/p/10958209'}",1433,10958209,[]
4.0,True,True,True,False,1770756680,Tucholskystraße/Torstraße (Mobilitätsstation),0,4,362,"{'android': 'https://app.nextbike.net/station?id=115682120', 'ios': 'https://app.nextbike.net/station?id=115682120', 'web': 'https://nxtb.it/p/115682120'}",1570,115682120,[]
